295	600647. 同达创业	17.80	-0.28%	2020Q2到2022Q2	-0.30%	4.52%	0.02	-	7.99	-	24.84	+38.52%	贸易
160	600828. 茂业商业	3.39	+0.59%	2020Q1到2022Q1	60.22%	-17.95%	0.39	33.43	0.82	4.45%	58.37	-2.11%	零售
162	603101. 汇嘉时代	6.18	+0.32%	2020Q1到2022Q1	56.34%	24.59%	0.76	43.13	1.92	-	28.98	+4.39%	零售
163	601828. 美凯龙	5.11	+0.39%	2020Q1到2022Q1	56.18%	65.04%	15.24	12.88	0.41	1.96%	221.66	-40.98%	零售
168	600814. 杭州解百	6.17	+0.33%	2020Q1到2022Q1	52.74%	204.95%	0.18	16.53	1.40	3.11%	45.29	-2.70%	零售
175	000056. 皇庭国际	5.39	-1.64%	2020Q1到2022Q1	48.79%	7.65%	0.57	-	1.94	-	64.36	-5.77%	零售
178	600605. 汇通能源	8.87	-0.34%	2020Q1到2022Q1	46.17%	95.85%	0.14	237.48	1.63	0.99%	18.36	-4.95%	零售
185	000785. 居然之家	4.07	+0.25%	2020Q1到2022Q1	43.15%	-18.12%	12.73	12.12	1.35	3.99%	265.08	-18.06%	零售
187	600778. 友好集团	7.70	-0.39%	2020Q1到2022Q1	42.92%	26.05%	0.23	-	4.27	-	24.08	+72.65%	零售
188	600785. 新华百货	11.71	+0.77%	2020Q1到2022Q1	40.78%	100.24%	0.76	-	1.31	-	26.22	-10.61%	零售
214	000417. 合肥百货	4.34	+0.93%	2020Q2到2022Q2	23.34%	17.34%	1.47	70.46	0.79	1.40%	33.54	-0.29%	零售
216	600859. 王府井	20.37	+0.39%	2020Q1到2022Q1	22.96%	143.95%	0.82	28.85	1.17	1.97%	230.30	-23.27%	零售
247	605188. 国光连锁	7.77	+1.17%	2020Q1到2022Q1	10.96%	-15.37%	0.12	300.00	3.41	0.39%	38.06	-2.34%	零售
251	600738. 丽尚国潮	6.23	+0.16%	2020Q2到2022Q2	10.49%	120.03%	0.04	48.38	2.41	-	48.11	+2.47%	零售
253	600327. 大东方	4.80	+1.69%	2020Q1到2022Q1	9.17%	-79.75%	0.04	50.49	1.14	12.71%	41.76	-13.81%	零售
261	603682. 锦和商管	5.81	0.00%	2020Q1到2022Q1	6.86%	-16.70%	0.29	39.37	2.36	-	27.45	-4.44%	零售
268	600865. 百大集团	9.76	+1.04%	2020Q1到2022Q1	5.48%	-4.80%	0.30	45.12	1.56	2.07%	36.34	+6.68%	零售
282	600280. 中央商场	2.42	+1.26%	2020Q1到2022Q1	2.27%	102.11%	0.93	-	2.76	-	27.21	-16.84%	零售
298	002277. 友阿股份	4.52	-0.22%	2020Q1到2022Q1	-0.78%	59.98%	0.23	105.98	0.95	0.22%	63.16	+38.65%	零售
299	002419. 天虹股份	6.09	+0.33%	2020Q1到2022Q1	-0.80%	7.96%	1.58	-	1.62	2.64%	70.95	-0.69%	零售
314	002561. 徐家汇	9.33	+0.97%	2020Q1到2022Q1	-3.95%	37.45%	0.16	59.53	1.68	1.73%	38.42	+30.90%	零售
329	601116. 三江购物	9.36	+0.54%	2020Q1到2022Q1	-5.74%	-3.19%	0.10	58.13	1.62	2.15%	50.99	+1.39%	零售
363	600113. 浙江东日	7.21	+0.42%	2020Q1到2022Q1	-14.05%	35.96%	0.16	21.86	1.37	3.34%	29.54	+11.01%	零售
364	600790. 轻纺城	3.65	+0.83%	2020Q1到2022Q1	-14.18%	-12.54%	25.48	12.66	0.91	4.14%	53.06	+15.59%	零售
370	600628. 新世界	7.05	+0.28%	2020Q1到2022Q1	-15.66%	39.50%	0.20	-	1.04	0.78%	45.48	-9.03%	零售
373	600729. 重庆百货	22.75	+0.22%	2020Q1到2022Q1	-16.63%	65.59%	0.31	10.45	1.49	16.70%	92.28	+0.71%	零售
391	600415. 小商品城	5.18	+0.78%	2020Q1到2022Q1	-21.79%	21.22%	1.41	18.43	1.86	1.42%	282.25	+8.28%	零售
444	600824. 益民集团	3.51	+0.29%	2020Q1到2022Q1	-34.12%	-61.67%	0.06	-	1.37	0.77%	36.89	-8.39%	零售
466	600827. 百联股份	10.58	+0.19%	2020Q1到2022Q1	-37.98%	-1.44%	1.41	36.32	1.06	1.42%	188.41	-19.65%	零售
467	600858. 银座股份	5.65	+0.71%	2020Q1到2022Q1	-38.02%	-8.35%	0.13	-	1.23	-	29.18	+8.86%	零售
472	601086. 国芳集团	3.86	+0.26%	2020Q1到2022Q1	-38.62%	17.30%	0.06	36.56	1.64	15.58%	25.64	+0.01%	零售
484	603708. 家家悦	11.69	+0.09%	2020Q1到2022Q1	-41.22%	14.63%	0.64	-	3.10	-	71.06	-29.75%	零售
499	000501. 武商集团	10.33	+0.39%	2020Q1到2022Q1	-44.04%	11.30%	0.36	12.28	0.73	1.55%	79.13	-0.13%	零售
500	601010. 文峰股份	2.73	+0.37%	2020Q1到2022Q1	-44.14%	7.83%	0.35	26.27	1.06	4.74%	50.27	-17.91%	零售
53	600621. 华鑫股份	12.69	-0.24%	2020Q1到2022Q1	202.48%	500.00%	0.05	43.74	1.84	1.10%	134.95	-7.23%	证券
388	600095. 湘财股份	7.22	0.00%	2020Q1到2022Q1	-21.10%	51.47%	0.03	71.83	1.65	1.84%	206.13	-27.34%	证券
181	600705. 中航产融	3.29	0.00%	2020Q1到2022Q1	44.52%	108.55%	14.32	7.77	0.74	4.62%	293.47	-13.26%	保险及其他
192	000415. 渤海租赁	2.28	0.00%	2020Q1到2022Q1	37.08%	111.34%	15.32	-	0.56	-	141.01	-21.65%	保险及其他
309	000617. 中油资本	4.76	0.00%	2020Q1到2022Q1	-2.76%	-1.95%	12.60	11.02	0.64	2.77%	601.76	-5.41%	保险及其他
324	600643. 爱建集团	5.82	0.00%	2020Q1到2022Q1	-5.30%	5.97%	0.85	11.53	0.74	3.78%	94.40	-10.77%	保险及其他
348	002423. 中粮资本	6.73	-0.30%	2020Q1到2022Q1	-9.59%	42.64%	0.26	18.69	0.86	2.65%	155.53	-14.61%	保险及其他
